firstName,lastName,personId,gameId,gameDateTimeEst,gameType,win,home,playerteamId,playerteamCity,playerteamName,opponentteamId,opponentteamCity,opponentteamName,startingPosition,numMinutes,points,assists,reboundsTotal,reboundsOffensive,reboundsDefensive,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,steals,blocks,blocksAgainst,turnovers,foulsPersonal,foulsAgainst,plusMinusPoints,doubleDouble,tripleDouble,estimatedOffensiveRating,offensiveRating,spWorkOffensiveRating,estimatedDefensiveRating,defensiveRating,spWorkDefensiveRating,estimatedNetRating,netRating,spWorkNetRating,assistPercentage,assistToTurnoverRatio,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,teamTurnoverPercentage,estimatedTurnoverPercentage,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,spWorkPace,playerImpactEstimate,possessions,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsInPaint,opponentPointsOffTurnovers,opponentPointsSecondChance,opponentPointsFastBreak,opponentPointsInPaint,percentFieldGoalAttempts2Point,percentFieldGoalAttempts3Point,percentPoints2Point,percentPoints2PointMidRange,percentPoints3Point,percentPointsFastBreak,percentPointsFreeThrow,percentPointsOffTurnovers,percentPointsInPaint,percentAssisted2PointMade,percentUnassisted2PointMade,percentAssisted3PointMade,percentUnassisted3PointMade,percentAssistedFieldGoalsMade,percentUnassistedFieldGoalsMade,percentTeamFieldGoalsMade,percentTeamFieldGoalsAttempted,percentTeamThreePointersMade,percentTeamThreePointersAttempted,percentTeamFreeThrowsMade,percentTeamFreeThrowsAttempted,percentTeamOffensiveRebounds,percentTeamDefensiveRebounds,percentTeamRebounds,percentTeamAssists,percentTeamTurnovers,percentTeamSteals,percentTeamBlocks,percentTeamBlocksAgainst,percentTeamFoulsPersonal,percentTeamFoulsDrawn,percentTeamPoints
Cason,Wallace,1641717,22500001,2025-10-21 19:30:00 UTC,Regular Season,1,1,1610612760,Oklahoma City,Thunder,1610612745,Houston,Rockets,G,41.39,14,5,7,1,6,5,10,0.5,3,8,0.375,1,2,0.5,4,0,0,2,3,2,8,0,0,112.5,119.2,119.2,100.5,104.9,104.9,12,14.3,14.3,0.179,2.5,27.8,0.023,0.143,0.081,11.1,11.2,0.65,0.643,0.14,0.139,96.37,91.62,76.35,91.62,0.156,78,6,3,3,4,9,17,2,42,0.2,0.8,0.286,0,0.643,0.214,0.071,0.429,0.286,0,1,1,0,0.6,0.4,0.152,0.132,0.333,0.205,0.056,0.091,0.1,0.3,0.233,0.313,0.286,0.5,0,0,0.136,0.1,0.151
Steven,Adams,203500,22500001,2025-10-21 19:30:00 UTC,Regular Season,0,0,1610612745,Houston,Rockets,1610612760,Oklahoma City,Thunder,C,36.3,4,3,13,5,8,1,4,0.25,0,0,0,2,2,1,0,0,0,3,4,5,2,0,0,99,105.6,105.6,104.9,109,109,-5.8,-3.3,-3.3,0.107,1,27.3,0.125,0.205,0.165,27.3,27.6,0.25,0.41,0.088,0.09,95.54,90.72,75.6,90.72,0.073,71,0,2,0,2,16,10,8,34,1,0,0.5,0,0,0,0.5,0,0.5,0,1,0,0,0,1,0.034,0.059,0,0,0.167,0.154,0.417,0.4,0.406,0.25,0.214,0,0,0,0.25,0.333,0.053
Alperen,Sengun,1630578,22500001,2025-10-21 19:30:00 UTC,Regular Season,0,0,1610612745,Houston,Rockets,1610612760,Oklahoma City,Thunder,F,48.53,39,7,11,4,7,12,24,0.5,5,8,0.625,10,11,0.909,2,1,1,4,5,6,9,1,0,109.7,115.3,115.3,108.1,111.8,111.8,1.6,3.5,3.5,0.241,1.75,17.5,0.093,0.146,0.121,10,10,0.604,0.676,0.277,0.291,97.81,93.76,78.13,93.76,0.206,98,5,6,0,12,25,12,14,40,0.667,0.333,0.359,0.051,0.385,0,0.256,0.128,0.308,0.143,0.857,1,0,0.5,0.5,0.293,0.293,0.5,0.258,0.476,0.44,0.4,0.25,0.289,0.318,0.2,0.333,0.25,0.25,0.227,0.261,0.345
Kevin,Durant,201142,22500001,2025-10-21 19:30:00 UTC,Regular Season,0,0,1610612745,Houston,Rockets,1610612760,Oklahoma City,Thunder,G,47.03,23,3,9,0,9,9,16,0.563,0,4,0,5,6,0.833,0,0,0,4,6,6,0,0,0,102.7,107.6,107.6,104.4,110,110,-1.8,-2.4,-2.4,0.115,0.75,12,0,0.167,0.09,16,15.6,0.563,0.617,0.19,0.201,97.55,92.84,77.36,92.84,0.121,92,2,4,2,6,22,12,11,34,0.75,0.25,0.783,0.522,0,0.087,0.217,0.087,0.261,0.444,0.556,0,0,0.444,0.556,0.257,0.2,0,0.138,0.217,0.231,0,0.281,0.188,0.188,0.19,0,0,0,0.286,0.261,0.232
Clint,Capela,203991,22500001,2025-10-21 19:30:00 UTC,Regular Season,0,0,1610612745,Houston,Rockets,1610612760,Oklahoma City,Thunder,,7.52,4,0,0,0,0,1,1,1,0,0,0,2,2,1,1,0,0,1,0,1,5,0,0,105.1,105.6,105.6,94.1,93.3,93.3,11,12.2,12.2,0,0,0,0,0,0,33.3,34.7,1,1.064,0.136,0.137,100.64,100.76,83.97,100.76,0.138,18,0,0,0,2,6,0,5,4,1,0,0.5,0,0,0,0.5,0,0.5,1,0,0,0,1,0,0.2,0.077,0,0,0.286,0.286,0,0,0,0,0.2,0.5,0,0,0,0.2,0.211
Brooks,Barnhizer,1642964,22500001,2025-10-21 19:30:00 UTC,Regular Season,1,1,1610612760,Oklahoma City,Thunder,1610612745,Houston,Rockets,,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,60,60,60,83.3,100,100,-23.3,-40,-40,0,0,0,0,0,0,0,0,0,0,0,0,116.99,106.35,88.63,106.35,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajay,Mitchell,1642349,22500001,2025-10-21 19:30:00 UTC,Regular Season,1,1,1610612760,Oklahoma City,Thunder,1610612745,Houston,Rockets,,14.36,16,2,2,1,1,6,12,0.5,3,6,0.5,1,1,1,0,1,1,0,2,2,2,0,0,107.5,114.3,114.3,103.2,103.4,103.4,4.4,10.8,10.8,0.333,0,14.3,0.077,0.063,0.069,0,0,0.625,0.643,0.387,0.392,96.76,93.73,78.11,93.73,0.245,28,2,0,5,6,6,7,0,0,0.5,0.5,0.375,0,0.563,0.313,0.062,0.125,0.375,1,0,0.667,0.333,0.833,0.167,0.5,0.48,0.75,0.545,0.25,0.25,0.5,0.125,0.2,0.182,0,0,1,1,0.286,0.286,0.5
Josh,Okogie,1629006,22500001,2025-10-21 19:30:00 UTC,Regular Season,0,0,1610612745,Houston,Rockets,1610612760,Oklahoma City,Thunder,,19.58,8,1,2,1,1,1,3,0.333,1,3,0.333,5,6,0.833,0,1,0,0,2,3,-8,0,0,117.1,102.4,102.4,117.5,118.6,118.6,-0.4,-16.2,-16.2,0.083,0,14.3,0.067,0.05,0.057,0,0,0.5,0.709,0.128,0.142,96.32,102.19,85.16,102.19,0.072,42,3,2,0,0,8,2,5,20,0,1,0,0,0.375,0,0.625,0.375,0,0,0,1,0,1,0,0.077,0.115,0.143,0.214,0.5,0.462,0.333,0.071,0.118,0.1,0,0,0.2,0,0.167,0.375,0.186
Jabari,Smith Jr.,1631095,22500001,2025-10-21 19:30:00 UTC,Regular Season,0,0,1610612745,Houston,Rockets,1610612760,Oklahoma City,Thunder,F,41.45,16,0,5,3,2,7,15,0.467,2,6,0.333,0,0,0,1,0,1,0,4,2,2,0,0,106.7,112.2,112.2,107.4,113.9,113.9,-0.7,-1.7,-1.7,0,0,0,0.081,0.045,0.062,0,0,0.533,0.533,0.15,0.156,97.75,92.55,77.13,92.55,0.063,82,0,2,0,8,22,12,8,36,0.6,0.4,0.625,0.125,0.375,0,0,0,0.5,0.6,0.4,1,0,0.714,0.286,0.212,0.217,0.222,0.231,0,0,0.3,0.083,0.147,0,0,0.333,0,0.333,0.19,0.125,0.174
Chet,Holmgren,1631096,22500001,2025-10-21 19:30:00 UTC,Regular Season,1,1,1610612760,Oklahoma City,Thunder,1610612745,Houston,Rockets,F,38.3,28,2,7,2,5,11,17,0.647,2,5,0.4,4,4,1,0,0,1,3,6,3,-1,0,0,116.9,122.7,122.7,115.4,119.2,119.2,1.4,3.4,3.4,0.08,0.67,8.7,0.054,0.161,0.103,13,12.6,0.706,0.746,0.244,0.254,99.3,95.38,79.48,95.38,0.139,75,5,5,3,12,10,14,2,28,0.706,0.294,0.643,0.214,0.214,0.107,0.143,0.179,0.429,0.889,0.111,1,0,0.909,0.091,0.306,0.233,0.222,0.147,0.364,0.308,0.286,0.294,0.292,0.083,0.429,0,0,0.333,0.3,0.188,0.304
